"city","numero_pedidos"
"Butte","3"
"Paris","4"
"Cowes","10"
"Cork","19"
"Bern","8"
"Aachen","6"
"Brandenburg","14"
"Walla Walla","2"
"Warszawa","7"
"Münster","6"
"San Francisco","4"
"Eugene","11"
"Berlin","6"
"Caracas","2"
"Lille","5"
"Lyon","10"
"Elgin","5"
"Salzburg","10"
"Frankfurt a.M.","15"
"Stuttgart","10"
"Portland","12"
"Bruxelles","7"
"Århus","11"
"Barcelona","5"
"Leipzig","5"
"Reims","5"
"Oulu","15"
"Seattle","14"
"Versailles","4"
"Sevilla","10"
"Helsinki","7"
"Sao Paulo","31"
"Albuquerque","18"
"Marseille","17"
"Kirkland","3"
"Boise","31"
"Reggio Emilia","12"
"Bergamo","10"
"Strasbourg","11"
"Toulouse","14"
"München","15"
"Charleroi","12"
"Resende","9"
"Tsawassen","14"
"London","46"
"Stavern","6"
"Mannheim","7"
"Barquisimeto","14"
"Anchorage","10"
"Köln","10"
"Genève","10"
"Kobenhavn","7"
"Luleå","18"
"Campinas","9"
"Lisboa","13"
"Torino","6"
"Bräcke","19"
"Graz","30"
"Cunewalde","28"
"Montréal","13"
"Madrid","8"
"Lander","9"
"México D.F.","28"
"Vancouver","3"
"I. de Margarita","12"
"Buenos Aires","16"
"San Cristóbal","18"
"Rio de Janeiro","34"
"Nantes","7"
